row_id,clock_type,date_value,timestamp_value,source_id,source_role,source_tier,status,note
source_data_report_date:ecdc-bdbv-drc-uga-2026-05-22-live,source_data_report_date,2026-05-22,,ecdc-bdbv-drc-uga-2026-05-22-live,regional cross-check; lower than and not a replacement for the WHO 22 May headline endpoint,regional_body,recorded,Data/report date the source says the observation describes.
source_publication_date:ecdc-bdbv-drc-uga-2026-05-22-live,source_publication_date,2026-05-22,,ecdc-bdbv-drc-uga-2026-05-22-live,regional cross-check; lower than and not a replacement for the WHO 22 May headline endpoint,regional_body,recorded,Date the source made the observation available.
source_retrieval_date:ecdc-bdbv-drc-uga-2026-05-22-live,source_retrieval_date,2026-05-23,2026-05-23T04:09:36Z,ecdc-bdbv-drc-uga-2026-05-22-live,regional cross-check; lower than and not a replacement for the WHO 22 May headline endpoint,regional_body,recorded,Archive capture timestamp for this source edition.
source_data_report_date:drc-moh-epidemie-dashboard-full-graphql-2026-05-23,source_data_report_date,2026-05-22,,drc-moh-epidemie-dashboard-full-graphql-2026-05-23,restricted raw dashboard provenance; superseded for source-review display by drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23 and for corridor source load by the reviewed SitRep 007 PDF cumulative table,national_moh,recorded,Data/report date the source says the observation describes.
source_publication_date:drc-moh-epidemie-dashboard-full-graphql-2026-05-23,source_publication_date,2026-05-23,,drc-moh-epidemie-dashboard-full-graphql-2026-05-23,restricted raw dashboard provenance; superseded for source-review display by drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23 and for corridor source load by the reviewed SitRep 007 PDF cumulative table,national_moh,recorded,Date the source made the observation available.
source_retrieval_date:drc-moh-epidemie-dashboard-full-graphql-2026-05-23,source_retrieval_date,2026-05-23,2026-05-23T17:53:08Z,drc-moh-epidemie-dashboard-full-graphql-2026-05-23,restricted raw dashboard provenance; superseded for source-review display by drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23 and for corridor source load by the reviewed SitRep 007 PDF cumulative table,national_moh,recorded,Archive capture timestamp for this source edition.
source_data_report_date:drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,source_data_report_date,2026-05-22,,drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,,national_moh,recorded,Data/report date the source says the observation describes.
source_publication_date:drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,source_publication_date,2026-05-23,,drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,,national_moh,recorded,Date the source made the observation available.
source_retrieval_date:drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,source_retrieval_date,2026-05-23,2026-05-23T18:36:26Z,drc-moh-epidemie-dashboard-sitrep-008-graphql-2026-05-23,,national_moh,recorded,Archive capture timestamp for this source edition.
source_data_report_date:drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,source_data_report_date,2026-05-21,,drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,,national_moh,recorded,Data/report date the source says the observation describes.
