lovs_zone_id,inrb_canonical_nom,as_of_data_date,confirmed,confirmed_deaths,present_in_insp_classification,inrb_collapsed_from,source_id,method_basis
nizi,Nizi,2026-09-20,756,276,present_with_data,"[""Nizi""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
nyankunde,Nyakunde,2026-09-20,127,36,present_with_data,"[""Nyankunde""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
oicha,Oicha,2026-09-20,14,11,present_with_data,"[""Oicha""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
pawa,Pawa,2026-09-20,68,32,present_with_data,"[""Pawa""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
rimba,Rimba,2026-09-20,12,4,present_with_data,"[""Rimba""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
rungu,Rungu,2026-09-20,2,1,present_with_data,"[""Rungu""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
rwampara,Rwampara,2026-09-20,1054,355,present_with_data,"[""Rwampara""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
tchomia,Tchomia,2026-09-20,75,25,present_with_data,"[""Tchomia""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
tshopo-cod,Tshopo,2026-09-20,1,0,present_with_data,"[""Tshopo""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
viadana,Viadana,2026-09-20,3,1,present_with_data,"[""Viadana""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
vuhovi,Vuhovi,2026-09-20,25,6,present_with_data,"[""Vuhovi""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
wamba,Wamba,2026-09-20,102,35,present_with_data,"[""Wamba""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
wanie-rukula,Wanie-Rukula,2026-09-20,1,1,present_with_data,"[""Wanie-Rukula""]",inrb-sitrep-129-2026-09-20,reviewed_INSP_SitRep_129_Table_1_per_health_zone_v1
