row_id,row_type,metric,location,as_of_date,value,value_min,value_max,unit,source_id,conflicting_source_ids,evidence_ref,evidence_status,derivation_type,source_url,archive_sha256,raw_archive_status,license,correction_note
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.deaths,source_extracted_metric,deaths,COD; UGA,2026-05-18,18,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.bunia.suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-18,61,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.butembo.confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-18,1,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.butembo.deaths,source_extracted_metric,deaths,COD; UGA,2026-05-18,0,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.butembo.suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-18,1,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.goma.confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-18,1,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.goma.deaths,source_extracted_metric,deaths,COD; UGA,2026-05-18,0,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.goma.suspected,source_extracted_metric,suspected_cases,COD; UGA,2026-05-18,1,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.katwa.confirmed,source_extracted_metric,confirmed_cases,COD; UGA,2026-05-18,1,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
source:afro-sitrep-01-pdf-2026-05-18-live:affected_health_zones.katwa.deaths,source_extracted_metric,deaths,COD; UGA,2026-05-18,0,,,count,afro-sitrep-01-pdf-2026-05-18-live,,source_manifest:afro-sitrep-01-pdf-2026-05-18-live,source_manifest_attested,source_extracted_metric,https://www.afro.who.int/countries/democratic-republic-of-congo/publication/ebola-bundibugyo-virus-disease-outbreak-democratic-republic-congo-uganda-weekly-external-situation,b43fc698bf2407323c6d6af25a3679eccdd2d68b3effc61a7563e6ef977366ba,private_restricted_bytes,CC-BY-NC-SA-3.0-IGO,
