source_id,publisher,published_at,retrieved_at,source_tier,country_scope,metric,source_field,value
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.kilo.deaths,0
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.miti-murhesa.deaths,0
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.mongbwalu.deaths,84
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.nizi.deaths,1
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.nyankunde.deaths,6
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,deaths,affected_health_zones.rwampara.deaths,51
drc-moh-epidemie-dashboard-sitrep-mve-n-007-mvb-17-2026-pdf-2026-05-22,"Ministere de la Sante Publique, Hygiene et Prevoyance sociale, Democratic Republic of the Congo",2026-05-22T00:00:00Z,2026-05-23T18:36:26Z,national_moh,COD,suspected_cases,cases_suspected,746
ecdc-bdbv-drc-uga-2026-05-22-live,European Centre for Disease Prevention and Control,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,regional_body,COD|UGA,confirmed_cases,cases_confirmed,60
ecdc-bdbv-drc-uga-2026-05-22-live,European Centre for Disease Prevention and Control,2026-05-22T00:00:00Z,2026-05-23T04:09:36Z,regional_body,COD|UGA,suspected_cases,cases_suspected,650
who-dg-remarks-bdbv-2026-05-22,World Health Organization,2026-05-22T00:00:00Z,2026-05-22T16:11:52Z,official_who,COD|UGA,confirmed_cases_drc,cases_confirmed_drc,82
cdc-current-situation-2026-05-23,US Centers for Disease Control and Prevention,2026-05-23T00:00:00Z,2026-05-24T18:38:45Z,official_cdc,COD|UGA,confirmed_cases,cases_confirmed,88
